_id,name,description,tags,clauseID
299,Standard ,"Conditions on Severance. [PARTY A] will be obligate to pay [PARTY B] the severance payments and benefits under section [SEVERANCE BENEFITS] of the Severance Agreement only if [PARTY B]signs and delivers this agreement to [PARTY A] within 60 of receiving it from [PARTY A],complies the terms of this agreement and the Severance Agreement, anddoes not revoke this agreement under section [RIGHT TO REVOKE]. ",Neutral,167
300,Conditions Precedent on One Party ,"Conditions Precedent to Obligations of [PARTY A]. The obligations of the [PARTY A] to effect the [AGREEMENT] are subject to the satisfaction at or prior to the [EFFECTIVE TIME OF AGREEMENT] of the following conditions:Representations and Warranties. The representations and warranties of the [PARTY B] contained in this agreement and any certificate or other writing delivered pursuant hereto must be correct in all respects.Performance of [PARTY B]'s Obligations. The [PARTY B] must have performed and complied in all material respects with all agreements, covenants, and conditions required of the [PARTY B] under this agreement prior to or on the [EFFECTIVE TIME OF AGREEMENT].No Action, Injunction, or Restraining Order. No Action, injunction, or restraining order must have been commenced or still be in effect against the [PARTY A] or the [PARTY B], which would prevent the [EFFECTUATION OF THIS AGREEMENT], or which restrains or prohibits any transaction under this agreement.Approvals Consents and Waivers. The [PARTY A] must have obtained and received notice of all approvals, consents, and waivers that are listed on any Disclosure Schedule, or required by the [PARTY A]'s principal [FINANCING SOURCE].No Material Adverse Effect. From the date of this agreement, there must not have occurred any event or events that, individually or in the aggregate, has had, or could reasonably be expected to have a Material Adverse Effect on the [PARTY B].Deliverables. The [PARTY B] must have delivered each of the closing deliverables listed in the [CLOSING DELIVERABLES] subclause.Required Financial Information. The [PARTY B] must have obtained the Financing required under the [FINANCING] subclause, and delivered evidence of such financing to the [PARTY A].",Neutral,168
301,Conditions Precedent to Each Party ,"CompareConditions Precedent to Obligations of Both Parties. The respective obligations of each party to effect the [AGREEMENT] are subject to the satisfaction at or prior to the [EFFECTIVE TIME OF AGREEMENT] of the following conditions:No Adverse Governmental Order. No Order has been enacted, issued, or enforced by any Governmental Authority that has the effect of making the transactions under this agreement illegal, otherwise restrains or prohibits the consummation of such transactions, or causes any of such transactions to be rescinded following completion thereof.Consents, Authorizations, Orders, and Approvalseach party must have received all consents, authorizations, orders, and approvals from the Governmental Authorities referred to in each party's respective [NO CONFLICTS/CONSENTS REPRESENTATION]; andall such consents, authorizations, orders, and approvals must still be in effect at the time of [EFFECTIVE TIME OF AGREEMENT].",Neutral,168
302,Standard ,"Conditions Precedent to Obligations of [PARTY A]. The obligations of the [PARTY A] to effect this agreement are also subject to the satisfaction, or waiver by the [PARTY A], at or prior to the Closing of the following conditions:Representations and Warranties. The representations and warranties of the [PARTY B] must be correct on and as of the date of this agreement, and on and as of the Closing Date with the same effect as though made at and as of such date.Performance of [PARTY B]'s Obligations. The [PARTY B] must have performed and complied in all material respects with all agreements, covenants, and conditions required by this agreement to be performed or complied with by the [PARTY B] prior to or on the Closing Date.Legal Counsel. The [PARTY A] must have received a legal opinion, dated as of the Closing Date, from counsel for the [PARTY B].No Material Adverse Effect. From the date of this agreement, there must not have occurred any event or events that, individually or in the aggregate, has had, or could reasonably be expected to have a Material Adverse Effect on the [PARTY B]. ",Neutral,169
303,Customizable ,"CompareConditions Precedent to Obligation of the [PARTY A]. The obligation of the [PARTY A] to effect this [AGREEMENT] is also subject to the satisfaction, or waiver by the [PARTY A], at or prior to the [EFFECTIVE TIME OF THE AGREEMENT] of the following conditions:[ENUMERATED LIST OF CLOSING CONDITIONS]",Neutral,169
304,Asset Purchase Agreement ,"CompareConditions Precedent to Obligations of [PARTY A]. The obligations of the [PARTY A] to effect this agreement are also subject to the satisfaction, or waiver by the [PARTY A], at or prior to the Closing of the following conditions:Representations and Warranties Representations and Warranties in General. Other than the [PARTY B]'s representations and warranties in [ORGANIZATION AND AUTHORITY], [AUTHORITY; BOARD AND STOCKHOLDER APPROVAL], [FINANCIAL STATEMENTS], [UNDISCLOSED LIABILITIES], and [BROKERS], the representations and warranties of the [PARTY B] contained in this agreement and any certificate or other writing delivered under this agreement must be correct (in the case of any representation or warranty qualified by materiality or Material Adverse Effect), or in all material respects (in the case of any representation or warranty not qualified by materiality or Material Adverse Effect) on and as of the date of this agreement, and on and as of the Closing Date, with the same effect as though made at and as of such date (except those representations and warranties that address matters only as of a specified date, the accuracy of which will be determined as of that specified date in all respects).Representations and Warranties Only Required for Closing Date. The [PARTY B]'s representations and warranties in [ORGANIZATION AND AUTHORITY], [AUTHORITY; BOARD AND STOCKHOLDER APPROVAL], [FINANCIAL STATEMENTS], [UNDISCLOSED LIABILITIES], and [BROKERS] must be correct on and as of the date of this agreement, and on and as of the Closing Date, with the same effect as though made at and as of such date (except those representations and warranties that address matters only as of a specified date, the accuracy of which will be determined as of that specified date in all respects).Performance of [PARTY B]'s Obligations. The [PARTY B] must have performed and complied in all material respects with all agreements, covenants, and conditions required by this agreement to be performed or complied with by it prior to or on the Closing Date.No Action, Injunction, or Restraining Order. The parties must not be subject to any Action, injunction, or restraining order, commenced and still in effect, which would prevent the Closing or which restrains or prohibits any transaction under this agreement.Approvals, Consents, and Waivers. The [PARTY A] must have obtained and received notice of all approvals, consents, and waivers that are listed on the [PARTY A]'s Disclosure Schedule, or that are required by the Financing Source.No Material Adverse Effect. From the date of this agreement, there must not have occurred any event or events that, individually or in the aggregate, has had, or could reasonably be expected to have a Material Adverse Effect on the [PARTY B].Deliverables. The [PARTY B] must have delivered each of the closing deliverables required of it under the [CLOSING DELIVERABLES] subclause.Closing Certificate. The [PARTY B] must have delivered to the [PARTY A] a Closing Certificate signed by the [PARTY B].",Neutral,169
305,Merger Agreement ,"CompareConditions Precedent to [PARTY A] and Merger Sub's Obligations. The obligations of the [PARTY A] and Merger Sub to effect the Merger are also subject to the satisfaction, or waiver by the [PARTY A] or Merger Sub, at or prior to the Effective Time of the following conditions:Representations and Warranties. In the case of each of the three following subsections, as of the date of this agreement and as of the Effective Time as though made at and as of the Effective Time (except to the extent that such representation and warranty is expressly made as of a specified date, in which case such representation and warranty must be correct as of such specific date):each of the representations and warranties of the [PARTY B] listed in this agreement (other than the representations and warranties of the [PARTY B] listed in [COMPANY CAPITALIZATION REPRESENTATION] and [AUTHORITY REPRESENTATION] representations) must be correct (without giving effect to any limitation as to materiality or [PARTY B] Material Adverse Effect listed therein), except where the failure to be correct has not had or would not reasonably be expected to have a [PARTY B] Material Adverse Effect;each of the representations and warranties of the [PARTY B] listed in the [COMPANY CAPITALIZATION REPRESENTATION] and [AUTHORITY REPRESENTATION] representations must be correct in all material respects; andthe representations and warranties listed in the [PARTY B]'s [COMPANY'S ABSENCE OF CERTAIN CHANGE REPRESENTATION] representation must be true and correct in all respects.Performance of Obligations of [PARTY B]. The [PARTY B] must have performed in all material respects all covenants and agreements required by it under this agreement at or prior to the Closing Date.No Material Adverse Effect. Since the date of this agreement, there must not have occurred any event, development, change, effect, or occurrence that, individually or in the aggregate, has had, or would reasonably be expected to have, a [PARTY B] Material Adverse Effect.Officer's Certificate. The [PARTY A] must have received a certificate signed by the [PARTY B], certifying the satisfaction by the [PARTY B] of the above [REPRESENTATIONS AND WARRANTIES CONDITION], [PERFORMANCE OF OBLIGATIONS OF THE COMPANY CONDITION], and [NO MATERIAL ADVERSE EFFECT CONDITION] conditions.Required Financial Information. The [PARTY A] must have received the Required Financial Information, as listed in the [COMPANY FINANCING COOPERATION SUBCLAUSE] subclause.",Neutral,169
306,Standard ,"Conditions Precedent to [PARTY B]'s Obligations. The obligation of the [PARTY B] to effect this [AGREEMENT] is also subject to the satisfaction, or waiver by the [PARTY B], at or prior to the [EFFECTIVE TIME OF THE AGREEMENT] of the following conditions:[ENUMERATED LIST OF CONDITIONS]",Neutral,170
307,Merger Agreement ,"CompareConditions Precedent to [PARTY B]'s Obligation to Effect Merger. The obligations of the [PARTY B] to effect the Merger are also subject to the satisfaction, or waiver by the [PARTY B], at or prior to the Effective Time of the following conditions:Representations and Warranties. The representations and warranties of [PARTY A] and Merger Sub set forth in this agreement must be true and correct (without giving effect to any limitation as to ""materiality"" or ""[PARTY A] Material Adverse Effect"" set forth therein) as of the Effective Time with the same effect as though made on and as of the date of this agreement and as of the Effective Time (except to the extent that such representation and warranty expressly speaks as of an earlier date, in which case such representation and warranty shall be true and correct as of such earlier date), except where the failure to be true and correct has not had or would not reasonably be expected to have a [PARTY A] Material Adverse Effect.Performance of Obligations of the [PARTY A] and Merger Sub. The [PARTY A] and Merger Sub must have performed in all material respects all covenants and agreements required by them under this agreement at or prior to the Closing Date.No Material Adverse Effect. Since the date of this agreement, there must not have occurred any event, development, change, effect or occurrence that, individually or in the aggregate, has had, or would reasonably be expected to have, a [PARTY A] Material Adverse Effect.Officer's Certificate. The [PARTY B] must have received a certificate signed on behalf of the [PARTY A] by an executive officer of the [PARTY A], certifying the satisfaction by the [PARTY A] and Merger Sub of the conditions set out in this subclause.",Neutral,170
308,Asset Purchase Agreement ,"CompareConditions Precedent to the [PARTY B]'s Obligations. The obligations of the [PARTY B] to effect this agreement are also subject to the satisfaction, or waiver by the [PARTY B], at or prior to the Closing of the following conditions:Representations and Warranties Representations and Warranties in General. Other than the [PARTY A]'s representations and warranties in [ORGANIZATION AND AUTHORITY] and [BROKERS], the representations and warranties of the [PARTY A] contained in this agreement and any certificate or other writing delivered under this agreement must be true and correct in all respects (in the case of any representation or warranty qualified by materiality), or in all material respects (in the case of any representation or warranty not qualified by materiality), on and as of the date of this agreement, and on and as of the Closing Date with the same effect as though made at and as of such date (except those representations and warranties that address matters only as of a specified date, the accuracy of which will be determined as of that specified date in all respects).Representations and Warranties Only Required for the Closing Date. The [PARTY A]'s representations and warranties in [ORGANIZATION AND AUTHORITY] and [BROKERS] must be true and correct in all respects on and as of the date of this agreement, and on and as of the Closing Date with the same effect as though made at and as of such date.Performance of [PARTY A]'s Obligations. The [PARTY A] must have duly performed and complied in all material respects with all agreements, covenants, and conditions required by this agreement to be performed or complied with by the [PARTY A] prior to or on the Closing Date.No Action, Injunction, or Restraining Order. There must be no injunction or restraining order, issued by a Governmental Authority and still in effect which would prevent the Closing or which restrains or prohibits any material transaction under this agreement.Approvals, Consents, and Waivers. The [PARTY B] must have obtained and received notice of all approvals, consents, and waivers that are listed in its Disclosure Schedule.Deliverables. The [PARTY A] must have delivered each of the closing deliverables required of it under the [CLOSING DELIVERABLES] subclause.Closing Certificate. The [PARTY A] must have delivered to the [PARTY B] a Closing Certificate signed by a duly authorized officer of the [PARTY A].",Neutral,170
309,Standard ,"Conditions Precedent to the Obligations of Both Parties. The respective obligations of each party to effect this agreement are subject to the satisfaction at or prior to the Closing of the following conditions:No Adverse Governmental Order. No Order has been enacted, issued, or enforced by any Governmental Authority that has the effect of making the transactions under this agreement illegal, otherwise restrains or prohibits the consummation of such transactions, or causes any of such transactions to be rescinded following completion thereof.Consents, Authorizations, Orders, and Approvals Obtain. Each party must have received all consents, authorizations, orders, and approvals:from the Governmental Authorities referred to in each party's respective [NO CONFLICTS/CONSENTS REPRESENTATION];that are required by the Financing Source; andotherwise listed in the party's Disclosure Schedule.Effective. All such consents, authorizations, orders and, approvals must still be in effect at the time of [EFFECTIVE TIME OF AGREEMENT].",Neutral,171
310,Customizable ,CompareConditions Precedent to Obligations of Both Parties. The respective obligations of each party to effect the [AGREEMENT] are subject to the satisfaction at or prior to the [EFFECTIVE TIME OF AGREEMENT] of the following conditions:[ENUMERATE LIST OF CLOSING CONDITIONS],Neutral,171
311,Merger Agreement ,"CompareConditions Precedent to the Obligations of Both Parties. The respective obligations of each party to effect the Merger are subject to the satisfaction at or prior to the Effective Time of the following conditions:Company Shareholder Approval. This agreement must have been adopted by Company Shareholders constituting the Company Requisite Vote (""Company Shareholder Approval"").Regulatory Approvals. All consents, approvals, non-disapprovals, and authorizations of any Governmental Authority listed in the Company's Disclosure Schedule must have been obtained.No Injunctions or Legal Restraints. No temporary restraining order, preliminary or permanent injunction or other judgment, order, or decree issued by any court of competent jurisdiction or other legal restraint or prohibition is in effect, and no Law has been enacted, entered, promulgated, enforced, or deemed applicable by any governmental entity that, in any case, prohibits or makes illegal the consummation of the Merger.Waiting Period. Any applicable waiting period (and any extension thereof) under the HSR Act relating to the transactions contemplated by this agreement must have expired or been terminated.Effectiveness of Registration Statement. The Registration Statement must have been declared effective by the SEC under the Securities Act or otherwise become effective. No stop order suspending the effectiveness of the Registration Statement will have been issued by the SEC, and no proceedings for that purpose will have been initiated or threatened by the SEC.",Neutral,171
312,Asset Purchase Agreement ,"CompareConditions Precedent to the Obligations of Both Parties. The respective obligations of each party to effect this agreement are subject to the satisfaction at or prior to the Closing of the following conditions:No Adverse Governmental Order. No Order has been enacted, issued, or enforced by any Governmental Authority that has the effect of making the transactions under this agreement illegal, otherwise restrains or prohibits the consummation of such transactions, or causes any of such transactions to be rescinded following the transaction's completion.Consents, Authorizations, Orders, and Approvals. Each party must have received, and maintained in effect, all consents, authorizations, orders, and approvals:from the Governmental Authorities referred to in each party's [NO CONFLICTS/CONSENTS REPRESENTATION];that are required by the Financing Source; andotherwise listed in the party's Disclosure Schedule.",Neutral,171
313,Forbearance Agreement ,"CompareConditions to Effectiveness. This agreement will be effective on the Effective Date only after [PARTY A] delivers to [PARTY B] a consolidated cash forecast listing [PARTY A]'s projected cash flows and disbursements, in a form reasonably acceptable to [PARTY B].",Neutral,171
314,Conduct Of Meetings ,"Conduct Of Meetings. At each meeting of the Board of Directors, the Chairman of the Board of Directors, or, in his or her absence, a director chosen by a majority of the directors present, shall act as chairman. The Secretary of the Corporation shall act as secretary at each meeting of the Board of Directors. In case the Secretary or Assistant Secretary shall be absent from any meeting of the Board of Directors, the presiding officer of the meeting may appoint any person to act as secretary of the meeting.",Neutral,172
315,Conduct of Stockholders' Meeting ,"Conduct of Stockholders' Meeting. The Board of Directors may adopt by resolution such rules and regulations for the conduct of the meeting of stockholders as it shall deem appropriate. Except to the extent inconsistent with such rules and regulations as adopted by the Board of Directors, the presiding officer of any meeting of stockholders shall have the right and authority to prescribe such rules, regulations and procedures and to do all such acts as, in the judgment of such chairman, are appropriate for the proper conduct of the meeting. Unless and to the extent determined by the Board of Directors or the presiding officer of the meeting, meetings of stockholders shall not be required to be held in accordance with the rules of parliamentary procedure.",Neutral,173
316,Standard ," Ordinary Course of Business. Except for matters listed in the [PARTY B]'s Disclosure Schedule, or as expressly contemplated by this agreement, or as agreed in writing by the parties, from the date of this agreement to the [EFFECTIVE TIME OF THE AGREEMENT], the [PARTY B] shall:conduct its business in the usual, regular, and ordinary course in substantially the same manner as previously conducted;use reasonable efforts to preserve its current business organization;keep available the services of its current officers and employees;keep its relationships with customers, suppliers, licensors, licensees, distributors, and others having business dealings with them to the end that its goodwill and ongoing business shall be unimpaired at the Effective Time;not declare or pay any dividends on or make any other distributions (whether in cash, shares or property) in respect of any of its shares; andnot incur any liabilities in excess of $500,000 except in the ordinary course of business and consistent with past practice or in connection this agreement.",Neutral,174
317,Loan Agreements ,"Compare Maintenance of Existence and Business. Borrower shall:maintain its entity existence, name, rights, and franchises, and shall maintain its qualification and good standing in all states in which such qualification is necessary;engage solely in the business of [description of business]; andnot perform any act with respect to any Collateral that would impair [Lender]'s rights or interests therein, nor will the Borrower fail to perform any act that would reasonably be expected to prevent such impairment or that is necessary to preserve the [Lender]'s rights*;",,174
318,Merger Agreement ,"Compare Conduct of the BusinessOrdinary Course of Business. [Except for matters set forth in the Disclosure Letter, or as expressly contemplated by this Agreement, or as agreed in writing by the parties from time to time, from the date of this Agreement to the Effective Time], the [PARTY B]] shall:conduct its business in the usual, regular and ordinary course in substantially the same manner as previously conducted;use commercially reasonable efforts to preserve intact its current business organization;keep available the services of its current officers and employees and;keep its relationships with customers, suppliers, licensors, licensees, distributors and others having business dealings with them to the end that its goodwill and ongoing business shall be unimpaired.Capital Stock. The [PARTY B] will notissue, sell or otherwise permit to become outstanding, or authorize the creation of, any additional capital stock,permit any additional capital stock to become subject to new grants of employee or director stock options, or other stock-based employee rights,effect any recapitalization, reclassification, stock split, or similar change in capitalization, orenter into any agreement with respect to the foregoing.Dividends; Distributions; Adjustments. The [PARTY B] will notmake, declare, pay or set aside for payment any dividend or distribution on any shares of its capital stock[ other than (i) dividends paid by a wholly owned [PARTY B] Subsidiary to the [PARTY B] or another wholly owned [PARTY B] Subsidiary or (ii) the dividend of rights to purchase Equity Interests of the [PARTY B] pursuant to a stockholder rights agreement permitted under the terms of this agreement]; ordirectly or indirectly adjust, split, combine, redeem, reclassify, purchase or otherwise acquire, any shares of its capital stock.Compensation; Employment Agreements. The [PARTY B] will not enter into, modify, amend, renew or terminate any employment, consulting, severance, retention, change in control, or similar agreements or arrangements with any director, consultant, officer or employee of the [PARTY B] or its Subsidiaries, hire or engage any full-time employee or consultant, other than as replacements for positions existing on the date hereof, or grant any salary or wage increase or bonus or increase any employee benefit (including incentive or bonus payments), except (i) as set forth in the [PARTY B]'s Disclosure Schedule, or (ii) for changes that are required by applicable Law.Benefit Plans. The [PARTY B] will not enter into, establish, adopt, amend, modify or terminate (except (i) as may be required by applicable Law, (ii) to satisfy Previously Disclosed contractual obligations existing as of the date hereof, (iii) as contemplated by this Agreement or (iv) the regular annual renewal of insurance contracts) any pension, retirement, stock option, stock purchase, savings, profit sharing, deferred compensation, change in control, consulting, bonus, group insurance or other employee benefit, incentive or welfare contract (including related administrative services contracts), plan or arrangement, or any trust agreement (or similar arrangement) related thereto, in respect of any director, consultant, officer or employee of [PARTY B] or its Subsidiaries, or take any action to accelerate the payment of benefits or the vesting or exercisability of stock options, restricted stock or other compensation or benefits payable thereunder.Dispositions. Except as set forth in [PARTY B]'s Disclosure Schedule, sell, transfer, mortgage, pledge, encumber or otherwise dispose of or discontinue any of its assets, deposits, business or properties except in the ordinary course of business for full and fair consideration actually received.Acquisitions. Acquire (other than by way of foreclosures or acquisitions of control in a bona fide fiduciary capacity or in satisfaction of debts previously contracted in good faith, in each case in the ordinary and usual course of business consistent with past practice) all or any portion of the assets, business, deposits or properties of any other Person.Governing Documents. Amend the [PARTY B] Articles, the [PARTY B] Code or the articles of incorporation, articles of association, regulations or bylaws (or similar governing documents) of any of [PARTY B]'s Subsidiaries.Accounting Methods. Implement or adopt any change in its accounting principles, practices or methods, other than as may be required by GAAP.Material Contracts. Enter into, terminate, amend or modify any material contract.Claims. Except as set forth in [PARTY B]'s Disclosure Schedule, settle any claim, action or proceeding, including any claim, action or proceeding instituted by a Governmental Authority, except for any claim, action or proceeding which does not involve precedent for other material claims, actions or proceedings and which involves solely money damages in an amount, individually or in the aggregate for all such settlements, that does not exceed [$50,000].Adverse Actions. (i) Take any action while knowing that such action would, or is reasonably likely to, prevent or impede the Merger from qualifying as a reorganization within the meaning of Section 368(a) of the Code; or (ii) knowingly take any action that is intended or is reasonably likely to result in (I) any of its representations and warranties set forth in this Agreement being or becoming untrue in any material respect at any time at or prior to the Effective Time, (II) any of the conditions to the Merger set forth in Article VII not being satisfied or (III) a material violation of any provision of this Agreement except, in each case, as may be required by applicable Law or by any Governmental Authority.Risk Management. Except pursuant to applicable Law or as required by any Governmental Authority, (i) implement or adopt any material change in its interest rate and other risk management policies, procedures or practices; (ii) fail to follow its existing policies or practices with respect to managing its exposure to interest rate and other risk; (iii) fail to use commercially reasonable means to avoid any material increase in its aggregate exposure to interest rate risk; or (iv) fail to follow its existing policies or practices with respect to managing its fiduciary risks.Borrowings. The [PARTY B] will not borrow or agree to borrow any funds, including but not limited to pursuant to repurchase transactions, or directly or indirectly guarantee or agree to guarantee any obligations of any other Person, except as otherwise made in the ordinary course of business and with a final maturity of less than one year.Capital Expenditures. Except as Previously Disclosed, the [PARTY B] will not make any capital expenditure or capital additions or improvements or purchase other assets outside of the ordinary course of business which individually exceed [$10,000] or in the aggregate exceed [$20,000].Taxes. The [PARTY B] will notfail to prepare or file or cause to be prepared or filed in a timely manner consistent with past practice all Tax Returns that are required to be filed (with extensions) at or before the Effective Time;fail to pay any Tax due (whether or not required to be shown on any such Tax Returns);fail to pay any Tax due (whether or not required to be shown on any such Tax Returns); ormake, change or revoke any Tax election or Tax accounting method, file any amended Tax return, settle any Tax claim or assessment or consent to the extension or waiver of any statute of limitations with respect to Taxes (or offer or agree to do any of the foregoing or surrender its rights to do any of the foregoing or to claim any refund of Taxes or file any amended Tax Return).Offices and Facilities. The [PARTY B] will notopen, close or relocate any offices at which business is conducted; orfail to use commercially reasonable efforts to maintain and keep their respective properties and facilities in their present condition and working order, ordinary wear and tear excepted.Interest Rates. The [PARTY B] will not increase or decrease the rate of interest paid on time deposits or certificates of deposit, except in a manner consistent with past practices in relation to rates prevailing in the relevant market.Foreclosures. The [PARTY B] will not foreclose upon or otherwise take title to or possession or control of any real property or entity thereon without first consulting with OVBC regarding the potential of obtaining a Phase I report indicating that the property is free of Recognized Environmental Conditions (""RECs""), as that term is defined in ASTME 1527-13. Upon written request by OVBC, [PARTY B] shall conduct a Phase I on the real property and provide OVBC with a Phase I report prior to foreclosure upon or otherwise taking title to or possession or control of such real property; provided, however, that if any such report is obtained, it will be at the expense of OVBC and that no such report shall be required to be obtained with respect to single-family residential real property of two acres or less to be foreclosed upon.Deposit Liabilities. The [PARTY B] will not intentionally take any action that can reasonably be expected to cause any material adverse change in the amount or general composition of deposit liabilities other than in the ordinary course of business.Investment Securities. The [PARTY B] will not restructure or materially change its investment securities portfolio or its portfolio duration, through purchases, sales or otherwise (but excluding mandatory repurchases or redemptions) or the manner in which the portfolio is classified or reported, or invest in any mortgage-backed or mortgage-related securities that would be considered ""high risk"" securities under applicable regulatory pronouncements, except in such case as required by GAAP, Law or regulation as requested by a Regulatory Authority.Communications. The [PARTY B] will not issue any broadly distributed communication of a general nature to employees, including general communications relating to benefits and compensation, or customers without the prior approval of [PARTY A], which will not be unreasonably delayed or withheld, except for communications in the ordinary course of business (including any discussions of year-end bonuses or other compensation) that do not relate to the Merger or other transactions contemplated by this Agreement.Commitments. The [PARTY B] will not agree or commit to do any of the foregoing.",Neutral,174
319,Asset Purchase Agreement ,"CompareOrdinary Course of Business. Except for matters listed in the [PARTY B]'s Disclosure Schedule, as expressly contemplated by this agreement, or as agreed in writing by the parties, from the date of this agreement to the Closing Date, the [PARTY B] shall:conduct its business in the usual, regular, and ordinary course in substantially the same manner as previously conducted;use reasonable efforts to preserve its current business organization;maintain ownership and use of the Purchased Assets;maintain the Purchased Assets in the same condition were in on the date of this agreement, subject to reasonable wear and tear;maintain all Permits required for the conduct of the Business as previously conducted; continue to collect Accounts Receivable in a manner consistent with past practice, without discounting such Accounts Receivable;continue all Insurance Policies without modification, except as required by applicable Law;pay the Businesses' debts, Taxes and other obligations when due;defend and protect the Purchased Assets from infringement or usurpation;perform all of its obligations under all Assumed Contracts;maintain its Books and Records in accordance with past practice;comply in all material respects with all Laws applicable to the conduct of the Business or the ownership and use of the Purchased Assets;not take or permit any action that would cause any of the changes, events, or conditions described in [[PARTY B]'S ABSENCE OF CERTAIN CHANGES REPRESENTATION] subclause to occur; keep available the services of its current officers and employees; andkeep its relationships with customers, suppliers, licensors, licensees, distributors, and others having business dealings with them to the end that its goodwill and ongoing business will be unimpaired at the Effective Time.",Neutral,174
320,Protected Information ,"Confidential Information. ""Confidential Information"" means all material, non-public, business-related information, written or oral, whether or not it is marked as such, that is disclosed or made available to the receiving party, directly or indirectly, through any means of communication or observation.",,175
321,Specific (Technical Information) ,"CompareConfidential Information. For purposes of this agreement, ""Confidential Information"" includesany trade secret, know-how, invention, concept, software program, source code, object code, application, documentation, schematic, procedure, contract, information, knowledge, data, database, process, technique, design, drawing, program, formula or test data, work in progress, engineering, manufacturing, marketing, financial, sales, supplier, technical, scientific, customer, employee, investor, or business information, whether in oral, written, graphic, or electronic form,any non-public business information, including personnel data, correspondence with any Governmental Authority, historical customer information and data, historical cost information such as budgets, operating expenses, and capital costs, and projected capital additions, operating cost information, and other business, and financial reports and forecasts,any document, diagram, photograph, drawing, computer program, or other communication that is either conspicuously marked ""confidential"", or that the Receiving Party know or reasonably should have known to be confidential, andany advice, information, exhibits, documentation, or any other information that the Receiving Party should reasonably expect would be protected by attorney-client privilege, work product doctrine, or any other applicable privileges.",,175
322,Specific (Financial Information) ,"CompareConfidential Information. For purposes of this agreement, ""Confidential Information"" meansfinancial statements, business plans, strategic plans, proprietary market information, analyses, compilations and any other strategic, competitively sensitive, or proprietary information shared between the parties as a result of the discussions contemplated by this agreement,this agreement and all documents and materials relating to it and to its negotiation and execution thereof, andall observations, estimates, conclusions, ideas, or concepts reasonably related to Confidential Information disclosed to the receiving party.",,175
323,Specific (Employment Information) ,"CompareConfidential Information. For purposes of this agreement, ""Confidential Information"" meansall trade secrets, proprietary, and other information that is disclosed to or acquired by the Employee during or in the course of employment that relates to the Employee's business of  and that is not generally available to the public or generally known in the industry,customers' identities and requirements, customer lists, suppliers' identities and products, pricing information, product price discount information, manufacturing processes and procedures, new product research, financial information not generally available to the public, and other non-public information, andany techniques, know-how, processes, or any combinations of any of them; any compilations of information, records and specifications, used or owned by the Employer; any development, marketing, pricing, business methods, strategies, financial or other analyses, policies, or business opportunities.",,175
324,Narrow (Written) ,"CompareConfidential Information. ""Confidential Information"" means all trade secrets, know-how, business and financial information, and other proprietary information either disclosed to the receiving party or incorporated in materials or products provided to the receiving party and marked or indicated to be confidential.",,175
325,Narrow (Marked) ,"CompareConfidential Information. ""Confidential Information"" means any information labeled or referred to as ""confidential"" by the disclosing party, or provided to the receiving party by the disclosing party relating to this agreement.",,175
326,Narrow (disclosed during a specific time) ,"CompareConfidential Information. ""Confidential Information"" means all material, non-public information disclosed on or after the Effective Date.",,175
327,Standard Confidential Information ,"CompareConfidential Information. ""Confidential Information"" means all material, non-public, business-related information, written or oral, whether or not it is marked as such, that is disclosed or made available to the receiving party, directly or indirectly, through any means of communication or observation.",,175
328,Standard ,"Confidential Information Subject to Certain Privileges. The parties hereby acknowledge:Applicability of Certain Privileges. The Confidential Information, or parts of it, shared under this agreement may be entitled to the protection of the attorney work-product doctrine, attorney-client privilege, or similar protections or privileges;No Waiver. Neither party will be deemed to waive or have waived or diminished any of its attorney work-product doctrine, attorney-client privilege, or similar protections or privileges as a result of its disclosure of Confidential Information under this agreement;Common Interest in Confidentiality. The parties share a common legal and commercial interest in maintaining the confidentiality of all Confidential Information;Joint Defendants. The parties may become joint defendants in proceedings relating to the Confidential Information; andNo Waiver in Litigation. The parties intend that such protections and privileges remain intact should either party become subject to any actual or threatened proceeding relating to any Confidential Information, and so neither party will claim or contend in any proceeding involving any party that either party waives any protections or privileges of the attorney work-product doctrine, attorney-client privilege, or similar protections or privileges as a result of the disclosure of Confidential Information under this agreement.",Neutral,176
329,Core Confidentiality Obligation ,Confidentiality Obligation. The receiving party will hold the Confidential Information in confidence.,Neutral,177
